expected,predicted,correct
medium,high,False
high,high,True
low,high,False
medium,high,False
high,low,False
low,high,False
high,low,False
medium,low,False
low,high,False
low,high,False
medium,high,False
low,high,False
low,low,True
high,high,True
medium,high,False
low,high,False
medium,low,False
low,high,False
low,high,False
high,high,True
medium,high,False
high,low,False
medium,high,False
low,high,False
high,high,True
medium,high,False
medium,high,False
medium,high,False
medium,low,False
high,high,True
low,low,True
high,high,True
high,high,True
low,high,False
high,low,False
medium,high,False
low,high,False
high,low,False
high,low,False
low,high,False
low,high,False
high,high,True
low,high,False
high,high,True
low,high,False
low,low,True
low,high,False
low,high,False
high,high,True
medium,high,False
low,low,True
high,high,True
low,high,False
high,low,False
medium,high,False
high,low,False
high,high,True
medium,low,False
low,high,False
low,high,False
low,high,False
medium,low,False
high,high,True
high,high,True
high,low,False
high,low,False
low,high,False
high,low,False
low,high,False
medium,high,False
low,high,False
low,high,False
low,high,False
low,low,True
high,low,False
medium,high,False
high,high,True
high,high,True
medium,high,False
low,high,False
low,low,True
low,high,False
low,low,True
low,high,False
medium,high,False
low,high,False
high,low,False
medium,high,False
medium,high,False
medium,high,False
medium,high,False
medium,high,False
low,high,False
high,high,True
low,high,False
medium,low,False
high,low,False
medium,high,False
high,high,True
high,high,True
medium,high,False
high,high,True
high,high,True
low,high,False
high,high,True
medium,high,False
medium,low,False
high,high,True
medium,low,False
low,high,False
low,high,False
low,high,False
low,high,False
low,high,False
high,high,True
low,high,False
low,high,False
low,high,False
low,high,False
high,high,True
low,high,False
medium,high,False
medium,high,False
high,high,True
medium,high,False
low,high,False
high,high,True
low,low,True
medium,high,False
medium,high,False
medium,high,False
high,low,False
high,low,False
low,high,False
low,high,False
high,high,True
high,high,True
low,high,False
high,low,False
high,high,True
high,high,True
low,high,False
medium,low,False
low,high,False
medium,high,False
low,high,False
high,high,True
medium,low,False
low,high,False
low,low,True
low,low,True
medium,high,False
high,low,False
medium,high,False
low,low,True
low,high,False
low,high,False
medium,high,False
low,high,False
low,high,False
medium,low,False
medium,low,False
high,low,False
medium,high,False
low,high,False
medium,high,False
high,high,True
high,high,True
high,low,False
high,high,True
high,high,True
low,high,False
low,low,True
medium,high,False
high,low,False
low,high,False
low,high,False
medium,high,False
low,high,False
medium,low,False
medium,high,False
low,high,False
low,high,False
low,low,True
high,high,True
medium,high,False
high,high,True
high,high,True
high,low,False
low,low,True
low,low,True
low,high,False
medium,high,False
medium,high,False
high,high,True
high,high,True
high,high,True
low,high,False
medium,low,False
medium,high,False
high,high,True
medium,high,False
medium,low,False
high,high,True
medium,low,False
low,low,True
high,high,True
low,high,False
medium,high,False
low,high,False
high,high,True
medium,high,False
low,high,False
medium,high,False
high,high,True
high,low,False
high,low,False
medium,low,False
low,high,False
low,low,True
medium,high,False
high,high,True
high,high,True
low,high,False
high,high,True
medium,low,False
low,low,True
low,high,False
medium,high,False
low,high,False
low,high,False
medium,high,False
low,high,False
low,high,False
high,high,True
medium,low,False
high,low,False
medium,low,False
high,high,True
medium,high,False
low,high,False
high,high,True
high,high,True
high,high,True
medium,high,False
low,high,False
medium,high,False
medium,high,False
low,high,False
low,low,True
high,high,True
medium,low,False
medium,low,False
low,high,False
medium,high,False
low,high,False
low,low,True
low,high,False
medium,high,False
high,high,True
high,low,False
medium,low,False
low,high,False
high,high,True
high,high,True
high,high,True
medium,low,False
medium,high,False
low,low,True
medium,medium,True
high,low,False
medium,low,False
high,low,False
low,high,False
low,high,False
medium,high,False
low,high,False
high,high,True
medium,high,False
medium,low,False
high,high,True
low,high,False
high,high,True
low,high,False
high,low,False
medium,high,False
high,high,True
low,high,False
high,high,True
medium,high,False
low,high,False
low,high,False
medium,high,False
medium,low,False
low,high,False
medium,high,False
low,low,True
medium,high,False
medium,low,False
low,high,False
medium,high,False
high,low,False
low,high,False
medium,high,False
medium,high,False
high,high,True
medium,low,False
high,high,True
high,high,True
low,high,False
medium,high,False
medium,high,False
low,high,False
high,high,True
medium,high,False
medium,high,False
medium,low,False
medium,high,False
high,high,True
low,high,False
high,low,False
medium,high,False
low,low,True
low,low,True
high,high,True
medium,high,False
low,high,False
medium,high,False
medium,high,False
low,high,False
medium,high,False
medium,high,False
low,high,False
high,low,False
medium,high,False
low,low,True
low,high,False
low,high,False
low,high,False
medium,low,False
medium,high,False
low,high,False
medium,low,False
medium,high,False
high,high,True
high,high,True
high,high,True
low,high,False
high,high,True
medium,high,False
high,high,True
high,high,True
high,high,True
medium,high,False
high,low,False
medium,high,False
low,low,True
low,high,False
high,high,True
high,low,False
high,low,False
low,low,True
high,high,True
high,low,False
low,high,False
high,high,True
medium,low,False
low,low,True
medium,high,False
medium,high,False
low,low,True
medium,high,False
low,low,True
medium,high,False
medium,high,False
low,low,True
high,high,True
medium,high,False
low,low,True
high,high,True
low,high,False
medium,high,False
medium,high,False
medium,low,False
medium,high,False
high,high,True
medium,high,False
low,high,False
high,high,True
medium,high,False
low,high,False
low,high,False
low,high,False
high,high,True
low,high,False
high,high,True
low,low,True
medium,high,False
medium,low,False
low,high,False
medium,high,False
high,high,True
low,high,False
medium,low,False
medium,high,False
low,high,False
medium,high,False
medium,high,False
high,low,False
high,high,True
medium,high,False
high,high,True
low,high,False
high,high,True
medium,low,False
high,high,True
low,low,True
high,high,True
high,low,False
low,high,False
high,high,True
high,high,True
high,high,True
medium,high,False
high,high,True
low,high,False
high,high,True
medium,low,False
medium,low,False
high,high,True
low,high,False
medium,high,False
medium,high,False
low,high,False
low,low,True
high,low,False
low,high,False
high,high,True
